Name,Riot_ID
Yasuo,157
Ashe,22
Sona,37
Wukong,62
Akali,84
Brand,63
Gangplank,41
Sion,14
Nami,267
Viktor,112
Rengar,107
Tristana,18
Jinx,222
Zac,154
Vel'Koz,161
Yorick,83
Xerath,101
Fiora,114
Malphite,54
Master Yi,11
Tahm Kench,223
Diana,131
Lulu,117
Lee Sin,64
Olaf,2
Garen,86
Ryze,13
Galio,3
Kha'Zix,121
Katarina,55
Orianna,61
Elise,60
Poppy,78
Malzahar,90
Volibear,106
LeBlanc,7
Heimerdinger,74
Karthus,30
Pantheon,80
Rek'Sai,421
Bard,432
Renekton,58
Aurelion Sol,136
Irelia,39
Karma,43
Kennen,85
Riven,92
Zed,238
Ahri,103
Twitch,29
Amumu,32
Jayce,126
Jax,24
Skarner,72
Azir,268
Braum,201
Rumble,68
Ekko,245
Lux,99
Fizz,105
Urgot,6
Evelynn,28
Blitzcrank,53
Jarvan IV,59
Kindred,203
Sivir,15
Alistar,12
Gragas,79
Vi,254
Graves,104
Soraka,16
Nocturne,56
Rammus,33
Lissandra,127
Cassiopeia,69
Swain,50
Thresh,412
Jhin,202
Warwick,19
Mordekaiser,82
Annie,1
Aatrox,266
Darius,122
Zilean,26
Lucian,236
Draven,119
Zyra,143
Dr. Mundo,36
Tryndamere,23
Singed,27
Shyvana,102
Corki,42
Sejuani,113
Hecarim,120
Miss Fortune,21
Anivia,34
Maokai,57
Quinn,133
Vladimir,8
Taric,44
Teemo,17
Shaco,35
Ezreal,81
Ziggs,115
Vayne,67
Leona,89
Fiddlesticks,9
Veigar,45
Nunu,20
Kalista,429
Shen,98
Gnar,150
Janna,40
Nasus,75
Nidalee,76
Kog'Maw,96
Caitlyn,51
Cho'Gath,31
Trundle,48
Twisted Fate,4
Talon,91
Xin Zhao,5
Udyr,77
Kassadin,38
Morgana,25
Varus,110
Syndra,134
Nautilus,111
Illaoi,420
Kayle,10
