Alistar,Alistar,4
Annie,Annie,1
Ashe,Ashe,13
Fiddlesticks,Fiddlesticks,38
Jax,Jax,15
Kayle,Kayle,2
Master Yi,Master-Yi,3
Morgana,Morgana,16
Nunu,Nunu,12
Ryze,Ryze,5
Sion,Sion,6
Sivir,Sivir,7
Soraka,Soraka,8
Teemo,Teemo,9
Tristana,Tristana,10
Twisted Fate,Twisted-Fate,28
Warwick,Warwick,11
Singed,Singed,18
Zilean,Zilean,17
Evelynn,Evelynn,19
Twitch,Twitch,20
Tryndamere,Tryndamere,14
Karthus,Karthus,21
Amumu,Amumu,23
Cho'Gath,chogath,22
Anivia,Anivia,25
Rammus,Rammus,24
Veigar,Veigar,33
Kassadin,Kassadin,27
Gangplank,Gangplank,30
Taric,Taric,32
Malphite,Malphite,35
Janna,Janna,29
Blitzcrank,Blitzcrank,34
Dr. Mundo,dr-mundo,26
Katarina,Katarina,36
Corki,Corki,31
Nasus,Nasus,37
Heimerdinger,Heimerdinger,40
Shaco,Shaco,41
Udyr,Udyr,39
Nidalee,Nidalee,42
Poppy,Poppy,43
Gragas,Gragas,45
Pantheon,Pantheon,44
Mordekaiser,Mordekaiser,46
Ezreal,Ezreal,47
Shen,Shen,48
Kennen,Kennen,49
Garen,Garen,51
Akali,Akali,50
Malzahar,Malzahar,52
Olaf,Olaf,53
Kog'Maw,kogmaw,54
Xin Zhao,xin-zhao,55
Vladimir,Vladimir,56
Galio,Galio,57
Urgot,Urgot,58
Miss Fortune,miss-fortune,59
Sona,Sona,60
Swain,Swain,61
Lux,Lux,62
LeBlanc,LeBlanc,63
Irelia,Irelia,64
Trundle,Trundle,65
Cassiopeia,Cassiopeia,66
Caitlyn,Caitlyn,67
Renekton,Renekton,68
Karma,Karma,69
Maokai,Maokai,70
Jarvan IV,Jarvan-iv,71
Nocturne,nocturne,72
Lee Sin,lee-sin,73
Brand,Brand,74
Rumble,Rumble,75
Vayne,Vayne,76
Orianna,Orianna,77
Yorick,Yorick,78
Leona,Leona,79
Wukong,Wukong,80
Skarner,Skarner,81
Talon,Talon,82
Riven,Riven,83
Xerath,Xerath,84
Graves,Graves,85
Shyvana,Shyvana,86
Fizz,Fizz,87
Volibear,Volibear,88
Ahri,Ahri,89
Viktor,Viktor,90
Sejuani,Sejuani,91
Ziggs,Ziggs,92
Nautilus,Nautilus,93
Fiora,Fiora,94
Lulu,Lulu,95
Hecarim,Hecarim,96
Varus,Varus,97
Darius,Darius,98
Draven,Draven,99
Jayce,Jayce,100
Zyra,Zyra,101
Diana,Diana,102
Rengar,Rengar,103
Syndra,Syndra,104
Kha'Zix,khazix,105
Elise,Elise,106
Zed,Zed,107
Nami,Nami,108
Vi,Vi,109
Thresh,Thresh,110
Quinn,Quinn,111
Zac,Zac,112
Lissandra,Lissandra,113
Aatrox,Aatrox,114
Lucian,Lucian,115
Jinx,Jinx,116
Yasuo,Yasuo,117
Vel'Koz,velkoz,118
Braum,Braum,119
Gnar,Gnar,120
Azir,Azir,121
Kalista,Kalista,122
Rek'Sai,reksai,123
Bard,Bard,124
Ekko,Ekko,125
Tahm Kench,tahm-kench,126
Kindred,Kindred,127
Illaoi,Illaoi,128
Jhin,Jhin,129
Aurelion Sol,aurelion-sol,130
