Name,Graph_ID,Mobafire_Name,Mobafire_ID,Image_ID
Aatrox,0,Aatrox,114,Aatrox
Ahri,1,Ahri,89,Ahri
Akali,2,Akali,50,Akali
Alistar,3,Alistar,4,Alistar
Amumu,4,Amumu,23,Amumu
Anivia,5,Anivia,25,Anivia
Annie,6,Annie,1,Annie
Ashe,7,Ashe,13,Ashe
Aurelion Sol,8,aurelion-sol,130,AurelionSol
Azir,9,Azir,121,Azir
Bard,10,Bard,124,Bard
Blitzcrank,11,Blitzcrank,34,Blitzcrank
Brand,12,Brand,74,Brand
Braum,13,Braum,119,Braum
Caitlyn,14,Caitlyn,67,Caitlyn
Cassiopeia,15,Cassiopeia,66,Cassiopeia
Cho'Gath,16,chogath,22,Chogath
Corki,17,Corki,31,Corki
Darius,18,Darius,98,Darius
Diana,19,Diana,102,Diana
Dr. Mundo,20,dr-mundo,26,DrMundo
Draven,21,Draven,99,Draven
Ekko,22,Ekko,125,Ekko
Elise,23,Elise,106,Elise
Evelynn,24,Evelynn,19,Evelynn
Ezreal,25,Ezreal,47,Ezreal
Fiddlesticks,26,Fiddlesticks,38,FiddleSticks
Fiora,27,Fiora,94,Fiora
Fizz,28,Fizz,87,Fizz
Galio,29,Galio,57,Galio
Gangplank,30,Gangplank,30,Gangplank
Garen,31,Garen,51,Garen
Gnar,32,Gnar,120,Gnar
Gragas,33,Gragas,45,Gragas
Graves,34,Graves,85,Graves
Hecarim,35,Hecarim,96,Hecarim
Heimerdinger,36,Heimerdinger,40,Heimerdinger
Illaoi,37,Illaoi,128,Illaoi
Irelia,38,Irelia,64,Irelia
Janna,39,Janna,29,Janna
Jarvan IV,40,Jarvan-iv,71,JarvanIV
Jax,41,Jax,15,Jax
Jayce,42,Jayce,100,Jayce
Jhin,43,Jhin,129,Jhin
Jinx,44,Jinx,116,Jinx
Kalista,45,Kalista,122,Kalista
Karma,46,Karma,69,Karma
Karthus,47,Karthus,21,Karthus
Kassadin,48,Kassadin,27,Kassadin
Katarina,49,Katarina,36,Katarina
Kayle,50,Kayle,2,Kayle
Kennen,51,Kennen,49,Kennen
Kha'Zix,52,khazix,105,Khazix
Kindred,53,Kindred,127,Kindred
Kog'Maw,54,kogmaw,54,KogMaw
LeBlanc,55,LeBlanc,63,Leblanc
Lee Sin,56,lee-sin,73,LeeSin
Leona,57,Leona,79,Leona
Lissandra,58,Lissandra,113,Lissandra
Lucian,59,Lucian,115,Lucian
Lulu,60,Lulu,95,Lulu
Lux,61,Lux,62,Lux
Malphite,62,Malphite,35,Malphite
Malzahar,63,Malzahar,52,Malzahar
Maokai,64,Maokai,70,Maokai
Master Yi,65,Master-Yi,3,MasterYi
Miss Fortune,66,miss-fortune,59,MissFortune
Mordekaiser,67,Mordekaiser,46,Mordekaiser
Morgana,68,Morgana,16,Morgana
Nami,69,Nami,108,Nami
Nasus,70,Nasus,37,Nasus
Nautilus,71,Nautilus,93,Nautilus
Nidalee,72,Nidalee,42,Nidalee
Nocturne,73,nocturne,72,Nocturne
Nunu,74,Nunu,12,Nunu
Olaf,75,Olaf,53,Olaf
Orianna,76,Orianna,77,Orianna
Pantheon,77,Pantheon,44,Pantheon
Poppy,78,Poppy,43,Poppy
Quinn,79,Quinn,111,Quinn
Rammus,80,Rammus,24,Rammus
Rek'Sai,81,reksai,123,RekSai
Renekton,82,Renekton,68,Renekton
Rengar,83,Rengar,103,Rengar
Riven,84,Riven,83,Riven
Rumble,85,Rumble,75,Rumble
Ryze,86,Ryze,5,Ryze
Sejuani,87,Sejuani,91,Sejuani
Shaco,88,Shaco,41,Shaco
Shen,89,Shen,48,Shen
Shyvana,90,Shyvana,86,Shyvana
Singed,91,Singed,18,Singed
Sion,92,Sion,6,Sion
Sivir,93,Sivir,7,Sivir
Skarner,94,Skarner,81,Skarner
Sona,95,Sona,60,Sona
Soraka,96,Soraka,8,Soraka
Swain,97,Swain,61,Swain
Syndra,98,Syndra,104,Syndra
Tahm Kench,99,tahm-kench,126,TahmKench
Talon,100,Talon,82,Talon
Taric,101,Taric,32,Taric
Teemo,102,Teemo,9,Teemo
Thresh,103,Thresh,110,Thresh
Tristana,104,Tristana,10,Tristana
Trundle,105,Trundle,65,Trundle
Tryndamere,106,Tryndamere,14,Tryndamere
Twisted Fate,107,Twisted-Fate,28,TwistedFate
Twitch,108,Twitch,20,Twitch
Udyr,109,Udyr,39,Udyr
Urgot,110,Urgot,58,Urgot
Varus,111,Varus,97,Varus
Vayne,112,Vayne,76,Vayne
Veigar,113,Veigar,33,Veigar
Vel'Koz,114,velkoz,118,Velkoz
Vi,115,Vi,109,Vi
Viktor,116,Viktor,90,Viktor
Vladimir,117,Vladimir,56,Vladimir
Volibear,118,Volibear,88,Volibear
Warwick,119,Warwick,11,Warwick
Wukong,120,Wukong,80,MonkeyKing
Xerath,121,Xerath,84,Xerath
Xin Zhao,122,xin-zhao,55,XinZhao
Yasuo,123,Yasuo,117,Yasuo
Yorick,124,Yorick,78,Yorick
Zac,125,Zac,112,Zac
Zed,126,Zed,107,Zed
Ziggs,127,Ziggs,92,Ziggs
Zilean,128,Zilean,17,Zilean
Zyra,129,Zyra,101,Zyra
