letter	frequency
Lucian	33.81
Lee Sin	32.96
Ezreal	31.89
Vayne	28.76
Thresh	26.58
Graves	23.63
Yasuo	23.47
Ekko	22.80
Kalista	20.93
Zed	20.68
Twisted Fate	19.71
Janna	19.50
Riven	19.18
Nidalee	18.97
Corki	17.75
Gangplank	17.67
Alistar	17.63
Lulu	17.31
Tristana	17.03
Ahri	16.71
Rek'Sai	16.44
Fiora	16.13
Gragas	16.11
Jinx	16.07
LeBlanc	15.98
Elise	15.98
Blitzcrank	15.95
Bard	15.54
Azir	15.24
Caitlyn	14.64
Rengar	14.57
Fizz	14.36
Viktor	14.11
Sivir	13.73
Braum	13.33
Nautilus	13.13
Jhin	12.31
Irelia	12.28
Morgana	12.25
Malphite	12.25
Kindred	12.21
Gnar	12.19
Tahm Kench	12.04
Shen	11.53
Poppy	10.30
Kha'Zix	10.25
Ashe	10.16
Darius	9.85
Orianna	9.80
Lux	9.74
Miss Fortune	9.74
Diana	9.65
Soraka	9.60
Ryze	9.48
Draven	9.28
Quinn	9.18
Vladimir	9.15
Hecarim	9.13
Lissandra	8.89
Maokai	8.78
Renekton	8.42
Rumble	8.00
Trundle	7.93
Kassadin	7.72
Brand	7.67
