letter	frequency
Kog'Maw	7.62
Annie	7.59
Jax	7.41
Evelynn	7.37
Shyvana	7.34
Master Yi	6.93
Olaf	6.69
Twitch	6.67
Nami	6.50
Varus	6.46
Jarvan IV	6.42
Vi	6.36
Talon	6.15
Karma	6.03
Dr. Mundo	5.87
Nunu	5.87
Pantheon	5.86
Cassiopeia	5.76
Udyr	5.49
Zac	5.43
Jayce	5.25
Leona	5.09
Veigar	4.89
Rammus	4.86
Katarina	4.82
Vel'Koz	4.75
Kayle	4.69
Nocturne	4.68
Sona	4.59
Wukong	4.53
Anivia	4.49
Zilean	4.37
Kennen	4.34
Nasus	4.30
Syndra	4.30
Xerath	4.29
Sejuani	3.91
Mordekaiser	3.90
Shaco	3.83
Cho'Gath	3.82
Xin Zhao	3.82
Garen	3.77
Sion	3.52
Tryndamere	3.50
Amumu	3.42
Teemo	3.22
Ziggs	3.21
Illaoi	3.08
Volibear	2.98
Skarner	2.89
Malzahar	2.71
Karthus	2.69
Urgot	2.54
Akali	2.45
Zyra	2.34
Fiddlesticks	2.28
Singed	2.25
Aatrox	2.15
Taric	2.12
Heimerdinger	2.12
Aurelion Sol	2.03
Swain	1.73
Warwick	1.68
Galio	1.68
Yorick	0.94
