row_idx	col_idx	affinity
1	1	100
1	2	2
1	3	0
1	4	3
1	5	0
1	6	1
1	7	1
1	8	1
1	9	0
1	10	2
1	11	3
1	12	2
1	13	1
1	14	2
1	15	2
1	16	0
1	17	1
1	18	3
1	19	2
1	20	1
1	21	1
1	22	2
1	23	5
1	24	3
1	25	1
1	26	6
1	27	0
1	28	4
1	29	2
1	30	0
1	31	4
1	32	1
1	33	3
1	34	3
1	35	5
1	36	2
1	37	0
1	38	1
1	39	3
1	40	3
1	41	1
1	42	2
1	43	0
1	44	2
1	45	3
1	46	3
1	47	1
1	48	0
1	49	1
1	50	1
1	51	0
1	52	0
1	53	2
1	54	2
1	55	1
1	56	2
1	57	7
1	58	1
1	59	1
1	60	6
1	61	2
1	62	1
1	63	2
1	64	0
1	65	1
1	66	1
1	67	1
1	68	1
1	69	2
1	70	1
1	71	1
1	72	3
1	73	3
1	74	1
1	75	1
1	76	2
1	77	1
1	78	1
1	79	2
1	80	2
1	81	1
1	82	3
1	83	2
1	84	3
1	85	4
1	86	2
1	87	2
1	88	0
1	89	1
1	90	2
1	91	2
1	92	0
1	93	1
1	94	2
1	95	0
1	96	1
1	97	1
1	98	0
1	99	0
1	100	3
1	101	1
1	102	0
1	103	0
1	104	5
1	105	3
1	106	2
1	107	1
1	108	3
1	109	1
1	110	1
1	111	1
1	112	1
1	113	5
1	114	1
1	115	1
1	116	1
1	117	2
1	118	1
1	119	1
1	120	0
1	121	1
1	122	0
1	123	1
1	124	4
1	125	0
1	126	1
1	127	4
1	128	0
1	129	1
1	130	0
2	1	2
2	2	100
2	3	4
2	4	19
2	5	5
2	6	10
2	7	10
2	8	14
2	9	3
2	10	31
2	11	18
2	12	20
2	13	12
2	14	14
2	15	21
2	16	12
2	17	6
2	18	26
2	19	9
2	20	18
2	21	5
2	22	11
2	23	31
2	24	19
2	25	9
2	26	46
2	27	3
2	28	20
2	29	22
2	30	3
2	31	22
2	32	4
2	33	13
2	34	17
2	35	26
2	36	8
2	37	3
2	38	3
2	39	16
2	40	24
2	41	8
2	42	7
2	43	10
2	44	15
2	45	22
2	46	28
2	47	9
2	48	4
2	49	14
2	50	9
2	51	6
2	52	5
2	53	12
2	54	13
2	55	11
2	56	35
2	57	42
2	58	6
2	59	17
2	60	44
2	61	28
2	62	21
2	63	12
2	64	3
2	65	8
2	66	7
2	67	13
2	68	4
2	69	15
2	70	9
2	71	4
2	72	11
2	73	26
2	74	6
2	75	5
2	76	6
2	77	23
2	78	6
2	79	10
2	80	12
2	81	4
2	82	16
2	83	9
2	84	17
2	85	28
2	86	8
2	87	15
2	88	4
2	89	6
2	90	11
2	91	8
2	92	2
2	93	3
2	94	18
2	95	3
2	96	7
2	97	10
2	98	2
2	99	12
2	100	10
2	101	10
2	102	2
2	103	4
2	104	35
2	105	21
2	106	6
2	107	3
2	108	35
2	109	8
2	110	5
2	111	3
2	112	12
2	113	39
2	114	9
2	115	8
2	116	7
2	117	27
2	118	11
2	119	3
2	120	2
2	121	5
2	122	10
2	123	4
2	124	35
2	125	1
2	126	5
2	127	39
2	128	7
2	129	6
2	130	3
3	1	0
3	2	4
3	3	100
3	4	2
3	5	1
3	6	0
3	7	2
3	8	2
3	9	0
3	10	3
3	11	3
3	12	3
3	13	1
3	14	2
3	15	3
3	16	1
3	17	0
3	18	3
3	19	2
3	20	2
3	21	1
3	22	2
3	23	6
3	24	4
3	25	2
3	26	7
3	27	0
3	28	4
3	29	4
3	30	0
3	31	4
3	32	1
3	33	2
3	34	3
3	35	5
3	36	2
3	37	0
3	38	0
3	39	3
3	40	4
3	41	1
3	42	2
3	43	1
3	44	2
3	45	3
3	46	4
3	47	1
3	48	0
3	49	2
3	50	1
3	51	1
3	52	1
3	53	3
3	54	2
3	55	1
3	56	4
3	57	9
3	58	1
3	59	1
3	60	7
3	61	3
3	62	2
3	63	3
3	64	1
3	65	1
3	66	2
3	67	2
3	68	0
3	69	2
3	70	1
3	71	1
3	72	2
3	73	5
3	74	1
3	75	1
3	76	1
3	77	1
3	78	2
3	79	2
3	80	2
3	81	1
3	82	3
3	83	2
3	84	4
3	85	6
3	86	2
3	87	2
3	88	1
3	89	1
3	90	2
3	91	2
3	92	0
3	93	0
3	94	2
3	95	1
3	96	1
3	97	2
3	98	0
3	99	1
3	100	2
3	101	2
3	102	0
3	103	1
3	104	5
3	105	2
3	106	1
3	107	1
3	108	4
3	109	1
3	110	1
3	111	0
3	112	1
3	113	7
3	114	1
3	115	1
3	116	1
3	117	3
3	118	2
3	119	1
3	120	0
3	121	1
3	122	1
3	123	1
3	124	6
3	125	0
3	126	1
3	127	5
3	128	0
3	129	1
3	130	0
4	1	3
4	2	19
4	3	2
4	4	100
4	5	6
4	6	5
4	7	14
4	8	15
4	9	2
4	10	16
4	11	35
4	12	32
4	13	12
4	14	36
4	15	19
4	16	5
4	17	7
4	18	23
4	19	13
4	20	10
4	21	10
4	22	11
4	23	26
4	24	22
4	25	12
4	26	40
4	27	5
4	28	17
4	29	16
4	30	3
4	31	19
4	32	5
4	33	16
4	34	26
4	35	29
4	36	10
4	37	3
4	38	4
4	39	13
4	40	47
4	41	11
4	42	9
4	43	6
4	44	13
4	45	20
4	46	25
4	47	13
4	48	4
4	49	9
4	50	5
4	51	6
4	52	8
4	53	12
4	54	15
4	55	10
4	56	17
4	57	43
4	58	12
4	59	11
4	60	43
4	61	30
4	62	13
4	63	21
4	64	4
4	65	16
4	66	7
4	67	13
4	68	5
4	69	32
4	70	17
4	71	5
4	72	30
4	73	23
4	74	7
4	75	10
4	76	8
4	77	12
4	78	8
4	79	17
4	80	10
4	81	8
4	82	24
4	83	11
4	84	17
4	85	19
4	86	11
4	87	9
4	88	7
4	89	4
4	90	23
4	91	9
4	92	3
4	93	6
4	94	19
4	95	4
4	96	9
4	97	24
4	98	2
4	99	4
4	100	23
4	101	6
4	102	6
4	103	4
4	104	53
4	105	23
4	106	18
4	107	3
4	108	22
4	109	8
4	110	6
4	111	3
4	112	7
4	113	33
4	114	6
4	115	7
4	116	9
4	117	16
4	118	12
4	119	4
4	120	2
4	121	6
4	122	5
4	123	5
4	124	25
4	125	2
4	126	10
4	127	20
4	128	6
4	129	10
4	130	5
5	1	0
5	2	5
5	3	1
5	4	6
5	5	100
5	6	1
5	7	3
5	8	2
5	9	0
5	10	3
5	11	4
5	12	6
5	13	3
5	14	4
5	15	4
5	16	1
5	17	1
5	18	3
5	19	3
5	20	3
5	21	2
5	22	2
5	23	7
5	24	5
5	25	3
5	26	9
5	27	1
5	28	3
5	29	4
5	30	0
5	31	4
5	32	1
5	33	3
5	34	5
5	35	6
5	36	2
5	37	0
5	38	0
5	39	3
5	40	7
5	41	1
5	42	2
5	43	1
5	44	2
5	45	4
5	46	5
5	47	1
5	48	0
5	49	1
5	50	2
5	51	1
5	52	1
5	53	3
5	54	4
5	55	2
5	56	3
5	57	12
5	58	1
5	59	1
5	60	10
5	61	5
5	62	4
5	63	4
5	64	1
5	65	2
5	66	2
5	67	3
5	68	1
5	69	4
5	70	3
5	71	1
5	72	4
5	73	6
5	74	1
5	75	2
5	76	1
5	77	2
5	78	2
5	79	3
5	80	2
5	81	1
5	82	5
5	83	2
5	84	4
5	85	5
5	86	1
5	87	1
5	88	1
5	89	1
5	90	3
5	91	3
5	92	1
5	93	1
5	94	3
5	95	1
5	96	3
5	97	4
5	98	0
5	99	1
5	100	4
5	101	1
5	102	0
5	103	1
5	104	8
5	105	5
5	106	2
5	107	1
5	108	5
5	109	2
5	110	2
5	111	0
5	112	1
5	113	8
5	114	1
5	115	2
5	116	2
5	117	3
5	118	2
5	119	1
5	120	0
5	121	1
5	122	1
5	123	1
5	124	6
5	125	0
5	126	2
5	127	5
5	128	1
5	129	1
5	130	1
6	1	1
6	2	10
6	3	0
6	4	5
6	5	1
6	6	100
6	7	2
6	8	4
6	9	1
6	10	10
6	11	6
6	12	5
6	13	4
6	14	3
6	15	5
6	16	4
6	17	1
6	18	7
6	19	2
6	20	5
6	21	1
6	22	3
6	23	10
6	24	5
6	25	2
6	26	12
6	27	0
6	28	6
6	29	5
6	30	0
6	31	8
6	32	1
6	33	3
6	34	4
6	35	7
6	36	2
6	37	1
6	38	1
6	39	4
6	40	6
6	41	1
6	42	2
6	43	2
6	44	4
6	45	6
6	46	8
6	47	2
6	48	1
6	49	4
6	50	1
6	51	2
6	52	1
6	53	3
6	54	4
6	55	3
6	56	10
6	57	12
6	58	1
6	59	4
6	60	12
6	61	8
6	62	6
6	63	3
6	64	1
6	65	2
6	66	2
6	67	3
6	68	1
6	69	4
6	70	2
6	71	1
6	72	3
6	73	7
6	74	2
6	75	1
6	76	1
6	77	7
6	78	1
6	79	3
6	80	2
6	81	1
6	82	4
6	83	1
6	84	4
6	85	8
6	86	2
6	87	5
6	88	1
6	89	1
6	90	3
6	91	2
6	92	0
6	93	0
6	94	4
6	95	1
6	96	1
6	97	2
6	98	1
6	99	3
6	100	3
6	101	2
6	102	0
6	103	1
6	104	9
6	105	6
6	106	1
6	107	1
6	108	13
6	109	2
6	110	1
6	111	0
6	112	3
6	113	12
6	114	3
6	115	3
6	116	1
6	117	8
6	118	4
6	119	1
6	120	0
6	121	1
6	122	2
6	123	1
6	124	11
6	125	0
6	126	1
6	127	11
6	128	1
6	129	2
6	130	1
7	1	1
7	2	10
7	3	2
7	4	14
7	5	3
7	6	2
7	7	100
7	8	6
7	9	1
7	10	8
7	11	12
7	12	11
7	13	5
7	14	11
7	15	10
7	16	3
7	17	2
7	18	9
7	19	5
7	20	6
7	21	2
7	22	6
7	23	12
7	24	9
7	25	6
7	26	20
7	27	1
7	28	9
7	29	9
7	30	1
7	31	8
7	32	3
7	33	5
7	34	9
7	35	13
7	36	4
7	37	1
7	38	1
7	39	8
7	40	18
7	41	3
7	42	4
7	43	2
7	44	5
7	45	10
7	46	11
7	47	4
7	48	2
7	49	3
7	50	3
7	51	3
7	52	3
7	53	6
7	54	7
7	55	3
7	56	11
7	57	21
7	58	4
7	59	4
7	60	21
7	61	11
7	62	7
7	63	8
7	64	2
7	65	4
7	66	5
7	67	6
7	68	1
7	69	12
7	70	7
7	71	2
7	72	9
7	73	12
7	74	2
7	75	4
7	76	3
7	77	6
7	78	5
7	79	6
7	80	4
7	81	3
7	82	9
7	83	4
7	84	8
7	85	13
7	86	4
7	87	5
7	88	2
7	89	2
7	90	7
7	91	5
7	92	1
7	93	1
7	94	7
7	95	1
7	96	4
7	97	9
7	98	1
7	99	2
7	100	7
7	101	3
7	102	1
7	103	2
7	104	20
7	105	10
7	106	5
7	107	2
7	108	12
7	109	3
7	110	4
7	111	1
7	112	3
7	113	19
7	114	3
7	115	2
7	116	4
7	117	8
7	118	5
7	119	2
7	120	1
7	121	3
7	122	2
7	123	3
7	124	13
7	125	0
7	126	3
7	127	11
7	128	1
7	129	2
7	130	2
8	1	1
8	2	14
8	3	2
8	4	15
8	5	2
8	6	4
8	7	6
8	8	100
8	9	2
8	10	11
8	11	13
8	12	12
8	13	6
8	14	11
8	15	19
8	16	4
8	17	2
8	18	22
8	19	5
8	20	7
8	21	3
8	22	10
8	23	16
8	24	11
8	25	5
8	26	33
8	27	1
8	28	12
8	29	8
8	30	1
8	31	12
8	32	2
8	33	8
8	34	10
8	35	20
8	36	4
8	37	2
8	38	2
8	39	9
8	40	19
8	41	4
8	42	5
8	43	2
8	44	16
8	45	21
8	46	28
8	47	5
8	48	2
8	49	4
8	50	4
8	51	3
8	52	3
8	53	6
8	54	11
8	55	10
8	56	11
8	57	25
8	58	4
8	59	5
8	60	38
8	61	13
8	62	8
8	63	8
8	64	3
8	65	6
8	66	4
8	67	14
8	68	4
8	69	10
8	70	7
8	71	3
8	72	9
8	73	13
8	74	3
8	75	4
8	76	4
8	77	7
8	78	5
8	79	6
8	80	7
8	81	3
8	82	11
8	83	4
8	84	8
8	85	14
8	86	5
8	87	6
8	88	2
8	89	3
8	90	9
8	91	5
8	92	2
8	93	1
8	94	19
8	95	2
8	96	5
8	97	8
8	98	1
8	99	3
8	100	8
8	101	3
8	102	2
8	103	2
8	104	22
8	105	23
8	106	5
8	107	2
8	108	16
8	109	9
8	110	3
8	111	3
8	112	6
8	113	32
8	114	3
8	115	3
8	116	4
8	117	9
8	118	6
8	119	2
8	120	1
8	121	2
8	122	2
8	123	3
8	124	16
8	125	1
8	126	3
8	127	14
8	128	3
8	129	3
8	130	2
9	1	0
9	2	3
9	3	0
9	4	2
9	5	0
9	6	1
9	7	1
9	8	2
9	9	100
9	10	4
9	11	4
9	12	2
9	13	2
9	14	2
9	15	2
9	16	1
9	17	0
9	18	4
9	19	1
9	20	1
9	21	0
9	22	1
9	23	6
9	24	2
9	25	1
9	26	6
9	27	0
9	28	3
9	29	2
9	30	0
9	31	4
9	32	0
9	33	2
9	34	2
9	35	4
9	36	2
9	37	0
9	38	1
9	39	2
9	40	3
9	41	0
9	42	0
9	43	1
9	44	3
9	45	2
9	46	4
9	47	1
9	48	0
9	49	1
9	50	1
9	51	1
9	52	0
9	53	2
9	54	2
9	55	1
9	56	4
9	57	6
9	58	0
9	59	2
9	60	6
9	61	3
9	62	2
9	63	1
9	64	0
9	65	1
9	66	1
9	67	2
9	68	1
9	69	2
9	70	1
9	71	0
9	72	2
9	73	3
9	74	0
9	75	1
9	76	1
9	77	2
9	78	1
9	79	2
9	80	2
9	81	0
9	82	3
9	83	1
9	84	3
9	85	3
9	86	1
9	87	1
9	88	0
9	89	0
9	90	2
9	91	1
9	92	0
9	93	1
9	94	2
9	95	1
9	96	1
9	97	1
9	98	0
9	99	1
9	100	2
9	101	1
9	102	0
9	103	0
9	104	5
9	105	3
9	106	1
9	107	0
9	108	4
9	109	1
9	110	1
9	111	0
9	112	1
9	113	5
9	114	1
9	115	1
9	116	0
9	117	3
9	118	1
9	119	0
9	120	0
9	121	0
9	122	1
9	123	0
9	124	5
9	125	0
9	126	1
9	127	4
9	128	0
9	129	1
9	130	0
10	1	2
10	2	31
10	3	3
10	4	16
10	5	3
10	6	10
10	7	8
10	8	11
10	9	4
10	10	100
10	11	17
10	12	15
10	13	10
10	14	11
10	15	16
10	16	12
10	17	6
10	18	24
10	19	9
10	20	16
10	21	5
10	22	10
10	23	32
10	24	17
10	25	6
10	26	38
10	27	2
10	28	19
10	29	20
10	30	2
10	31	27
10	32	3
10	33	15
10	34	16
10	35	24
10	36	10
10	37	3
10	38	4
10	39	15
10	40	17
10	41	7
10	42	7
10	43	10
10	44	16
10	45	19
10	46	27
10	47	8
10	48	4
10	49	14
10	50	7
10	51	7
10	52	5
10	53	11
10	54	13
10	55	11
10	56	31
10	57	35
10	58	4
10	59	16
10	60	39
10	61	26
10	62	15
10	63	11
10	64	3
10	65	8
10	66	7
10	67	9
10	68	4
10	69	11
10	70	4
10	71	4
10	72	11
10	73	22
10	74	4
10	75	5
10	76	6
10	77	20
10	78	5
10	79	11
10	80	11
10	81	4
10	82	17
10	83	8
10	84	17
10	85	24
10	86	10
10	87	17
10	88	4
10	89	4
10	90	10
10	91	7
10	92	2
10	93	3
10	94	16
10	95	2
10	96	3
10	97	8
10	98	2
10	99	9
10	100	11
10	101	9
10	102	2
10	103	3
10	104	30
10	105	18
10	106	6
10	107	3
10	108	34
10	109	7
10	110	6
10	111	3
10	112	12
10	113	35
10	114	11
10	115	7
10	116	6
10	117	30
10	118	12
10	119	2
10	120	1
10	121	4
10	122	9
10	123	3
10	124	35
10	125	1
10	126	5
10	127	36
10	128	5
10	129	7
10	130	2
11	1	3
11	2	18
11	3	3
11	4	35
11	5	4
11	6	6
11	7	12
11	8	13
11	9	4
11	10	17
11	11	100
11	12	26
11	13	11
11	14	29
11	15	17
11	16	5
11	17	5
11	18	19
11	19	10
11	20	9
11	21	7
11	22	8
11	23	28
11	24	19
11	25	9
11	26	36
11	27	3
11	28	16
11	29	14
11	30	3
11	31	18
11	32	5
11	33	15
11	34	20
11	35	24
11	36	8
11	37	4
11	38	5
11	39	11
11	40	37
11	41	8
11	42	6
11	43	6
11	44	15
